Kategorie: Alle Kategorien

Region,Donald Trump: (30.10.16 bis 30.10.16),Hillary Clinton: (30.10.16 bis 30.10.16)
South Dakota,38%,100%
Florida,55%,83%
New Jersey,62%,76%
West Virginia,70%,68%
Arkansas,62%,76%
Alaska,54%,84%
Montana,91%,47%
Ohio,56%,81%
New Hampshire,50%,88%
North Carolina,62%,76%
New Mexico,83%,55%
New York,58%,80%
Pennsylvania,56%,81%
Massachusetts,59%,79%
Wyoming,79%,59%
Alabama,47%,91%
Kentucky,61%,77%
Tennessee,61%,77%
Connecticut,58%,80%
Maryland,61%,77%
District of Columbia,55%,83%
Louisiana,51%,87%
Michigan,61%,77%
Minnesota,61%,77%
South Carolina,51%,87%
Oklahoma,54%,84%
Indiana,62%,76%
Wisconsin,65%,73%
Maine,65%,73%
Arizona,59%,79%
North Dakota,61%,77%
Nebraska,68%,70%
Washington,61%,77%
Georgia,56%,81%
Virginia,61%,77%
Texas,55%,83%
Nevada,70%,68%
Missouri,61%,77%
Iowa,59%,79%
Illinois,61%,77%
Utah,63%,75%
California,59%,79%
Idaho,52%,86%
Mississippi,54%,84%
Colorado,59%,79%
Rhode Island,69%,69%
Kansas,61%,77%
Delaware,72%,66%
Oregon,56%,81%
Vermont,73%,65%
Hawaii,83%,55%
