Kategorie: Alle Kategorien

Region,Donald Trump: (08.07.16 bis 08.07.16),Hillary Clinton: (08.07.16 bis 08.07.16)
Wyoming,19%,100%
New Hampshire,32%,86%
Illinois,38%,80%
District of Columbia,45%,73%
North Carolina,39%,79%
Tennessee,52%,66%
Mississippi,21%,97%
Alabama,36%,82%
Georgia,48%,70%
Arkansas,40%,78%
Virginia,48%,70%
Pennsylvania,53%,65%
Washington,50%,69%
Indiana,48%,70%
Maine,51%,67%
Delaware,66%,52%
Maryland,48%,70%
Oregon,51%,67%
Missouri,38%,80%
Montana,86%,32%
South Carolina,46%,72%
Arizona,57%,61%
Kentucky,44%,75%
South Dakota,71%,47%
Nebraska,60%,58%
Colorado,60%,58%
Kansas,45%,73%
Texas,48%,70%
Michigan,59%,59%
Massachusetts,59%,59%
Iowa,39%,79%
Louisiana,57%,61%
Utah,40%,78%
Connecticut,59%,59%
New York,58%,60%
Idaho,28%,90%
Minnesota,51%,67%
New Jersey,55%,63%
Nevada,60%,58%
Florida,55%,63%
New Mexico,47%,71%
California,61%,57%
Rhode Island,82%,36%
Ohio,53%,65%
Hawaii,67%,51%
North Dakota,73%,45%
Vermont,38%,80%
Wisconsin,45%,73%
West Virginia,72%,46%
Oklahoma,50%,69%
Alaska,39%,79%
