Kategorie: Alle Kategorien

Region,Donald Trump: (31.10.16 bis 31.10.16),Hillary Clinton: (31.10.16 bis 31.10.16)
Vermont,100%,38%
Minnesota,54%,84%
Maine,73%,65%
Wyoming,72%,66%
New Mexico,81%,56%
Connecticut,58%,80%
Alabama,59%,79%
North Dakota,51%,87%
Ohio,50%,88%
New Jersey,63%,75%
Massachusetts,58%,80%
District of Columbia,63%,75%
Kentucky,56%,81%
Rhode Island,81%,56%
New York,59%,79%
Indiana,59%,79%
Florida,59%,79%
Pennsylvania,63%,75%
Tennessee,54%,84%
Nevada,63%,75%
West Virginia,54%,84%
North Carolina,58%,80%
New Hampshire,66%,72%
Illinois,61%,77%
South Dakota,63%,75%
Michigan,72%,66%
Mississippi,51%,87%
Oklahoma,50%,88%
Georgia,59%,79%
Nebraska,62%,76%
Hawaii,50%,88%
Missouri,61%,77%
Iowa,62%,76%
California,62%,76%
Virginia,59%,79%
Arizona,61%,77%
Washington,61%,77%
Oregon,59%,79%
Wisconsin,69%,69%
Delaware,69%,69%
Louisiana,56%,81%
Texas,61%,77%
Colorado,56%,81%
Arkansas,66%,72%
Maryland,61%,77%
Alaska,76%,62%
Kansas,63%,75%
Montana,72%,66%
Idaho,59%,79%
South Carolina,69%,69%
Utah,65%,73%
