Kategorie: Alle Kategorien

Region,Donald Trump: (02.09.16 bis 02.09.16),Hillary Clinton: (02.09.16 bis 02.09.16)
New Mexico,75%,42%
Vermont,80%,37%
Idaho,94%,23%
Michigan,82%,35%
New Jersey,80%,37%
Arizona,72%,44%
Pennsylvania,80%,37%
California,76%,41%
District of Columbia,72%,44%
South Carolina,85%,31%
Arkansas,77%,40%
Rhode Island,65%,51%
West Virginia,100%,17%
Delaware,87%,30%
North Dakota,54%,63%
Virginia,74%,43%
North Carolina,76%,41%
Montana,75%,42%
Connecticut,77%,40%
Missouri,72%,44%
Utah,83%,34%
Louisiana,76%,41%
Ohio,69%,48%
Iowa,70%,47%
Oklahoma,83%,34%
Massachusetts,78%,38%
Maine,44%,72%
Washington,67%,50%
New York,75%,42%
Alaska,65%,51%
Florida,71%,45%
Colorado,71%,45%
Georgia,82%,35%
Texas,81%,36%
Illinois,69%,48%
Kansas,77%,40%
Tennessee,77%,40%
Alabama,74%,43%
Indiana,60%,57%
Mississippi,64%,52%
New Hampshire,68%,49%
Minnesota,54%,63%
Kentucky,51%,65%
Maryland,62%,55%
Wisconsin,72%,44%
South Dakota,68%,49%
Nevada,60%,57%
Hawaii,95%,22%
Nebraska,50%,67%
Wyoming,60%,57%
Oregon,74%,43%
