Kategorie: Alle Kategorien

Region,Donald Trump: (13.10.16 bis 13.10.16),Hillary Clinton: (13.10.16 bis 13.10.16)
Vermont,81%,43%
New Jersey,82%,42%
West Virginia,85%,40%
Alabama,90%,35%
Washington,87%,37%
Pennsylvania,82%,42%
New York,86%,38%
Maryland,90%,35%
Ohio,85%,40%
District of Columbia,80%,45%
Connecticut,86%,38%
Massachusetts,82%,42%
Arkansas,85%,40%
Florida,83%,41%
Kentucky,87%,37%
Minnesota,88%,36%
Michigan,81%,43%
New Hampshire,86%,38%
North Carolina,81%,43%
Nebraska,81%,43%
Missouri,75%,50%
Virginia,81%,43%
Maine,68%,56%
Oklahoma,87%,37%
Illinois,85%,40%
Rhode Island,78%,46%
Colorado,87%,37%
Delaware,75%,50%
Nevada,73%,51%
Georgia,90%,35%
Texas,85%,40%
California,83%,41%
Arizona,82%,42%
Utah,90%,35%
Indiana,78%,46%
South Carolina,95%,30%
Oregon,90%,35%
Tennessee,83%,41%
Wisconsin,80%,45%
Hawaii,88%,36%
Iowa,76%,48%
Montana,63%,61%
Kansas,73%,51%
South Dakota,82%,42%
Wyoming,85%,40%
Louisiana,77%,47%
New Mexico,76%,48%
Mississippi,81%,43%
North Dakota,100%,25%
Idaho,73%,51%
Alaska,75%,50%
