Kategorie: Alle Kategorien

Region,Donald Trump: (02.02.16 bis 02.02.16),Hillary Clinton: (02.02.16 bis 02.02.16)
Iowa,64%,67%
New Hampshire,76%,55%
District of Columbia,75%,56%
Connecticut,86%,44%
Delaware,96%,35%
New Jersey,84%,47%
Arkansas,92%,39%
West Virginia,100%,31%
New York,81%,50%
Oklahoma,97%,34%
Massachusetts,75%,56%
Vermont,61%,69%
South Carolina,96%,35%
Pennsylvania,85%,46%
Montana,82%,48%
Idaho,96%,35%
Washington,76%,55%
Alabama,96%,35%
Michigan,90%,40%
Ohio,86%,44%
Missouri,89%,42%
North Dakota,90%,40%
Minnesota,80%,51%
California,80%,51%
Louisiana,100%,31%
Illinois,77%,53%
Indiana,90%,40%
Maryland,78%,52%
Virginia,80%,51%
Rhode Island,65%,65%
Florida,82%,48%
Arizona,96%,35%
Nebraska,75%,56%
Nevada,85%,46%
Georgia,81%,50%
North Carolina,85%,46%
Texas,82%,48%
Oregon,69%,61%
Maine,77%,53%
Kansas,88%,43%
Wisconsin,71%,60%
Alaska,85%,46%
New Mexico,86%,44%
Mississippi,86%,44%
Hawaii,64%,67%
Utah,80%,51%
Tennessee,71%,60%
South Dakota,71%,60%
Kentucky,84%,47%
Colorado,71%,60%
Wyoming,75%,56%
