Kategorie: Alle Kategorien

Region,Donald Trump: (10.06.16 bis 10.06.16),Hillary Clinton: (10.06.16 bis 10.06.16)
North Dakota,29%,100%
District of Columbia,53%,76%
West Virginia,50%,79%
Rhode Island,63%,66%
Maryland,54%,75%
Connecticut,81%,48%
South Dakota,59%,70%
Washington,54%,75%
California,58%,71%
Massachusetts,57%,72%
New Jersey,57%,72%
Virginia,61%,68%
Arkansas,48%,81%
Oklahoma,55%,74%
Oregon,58%,71%
Utah,41%,88%
Colorado,53%,76%
Idaho,67%,62%
Iowa,44%,85%
New Mexico,49%,80%
New Hampshire,66%,63%
Montana,42%,87%
Vermont,46%,83%
Minnesota,55%,74%
Maine,54%,75%
Florida,58%,71%
New York,62%,67%
Kansas,54%,75%
Arizona,55%,74%
Indiana,58%,71%
Wyoming,80%,49%
Pennsylvania,63%,66%
Wisconsin,48%,81%
Illinois,50%,79%
Michigan,54%,75%
Tennessee,53%,76%
Georgia,55%,74%
Nebraska,62%,67%
Kentucky,58%,71%
Mississippi,55%,74%
Ohio,58%,71%
Texas,58%,71%
South Carolina,66%,63%
Louisiana,49%,80%
Nevada,68%,61%
Alabama,53%,76%
Delaware,55%,74%
Missouri,57%,72%
Alaska,70%,59%
North Carolina,63%,66%
Hawaii,61%,68%
