Kategorie: Alle Kategorien

Region,Donald Trump: (15.02.16 bis 15.02.16),Hillary Clinton: (15.02.16 bis 15.02.16)
South Carolina,94%,19%
Rhode Island,95%,18%
Montana,95%,18%
Vermont,42%,71%
Wyoming,82%,30%
South Dakota,80%,32%
New Hampshire,95%,18%
Nevada,65%,47%
West Virginia,100%,13%
Wisconsin,90%,22%
Alaska,70%,43%
New York,84%,29%
Oklahoma,100%,13%
New Jersey,84%,29%
Massachusetts,78%,35%
Virginia,79%,34%
Louisiana,95%,18%
Delaware,92%,21%
Tennessee,82%,30%
Mississippi,87%,26%
Nebraska,84%,29%
Florida,89%,23%
Maryland,86%,27%
Connecticut,78%,35%
Kentucky,84%,29%
Alabama,94%,19%
Pennsylvania,78%,35%
Ohio,86%,27%
Utah,96%,17%
Michigan,77%,36%
Texas,88%,25%
Iowa,76%,37%
Indiana,86%,27%
Oregon,81%,31%
Arkansas,84%,29%
Arizona,78%,35%
California,79%,34%
Idaho,86%,27%
District of Columbia,59%,54%
Georgia,79%,34%
Colorado,73%,39%
Minnesota,81%,31%
Maine,80%,32%
North Carolina,72%,40%
Illinois,77%,36%
Missouri,81%,31%
Washington,62%,51%
North Dakota,69%,44%
Kansas,77%,36%
New Mexico,62%,51%
Hawaii,82%,30%
