Kategorie: Alle Kategorien

Region,Donald Trump: (15.11.15 bis 15.11.15),Hillary Clinton: (15.11.15 bis 15.11.15)
Alaska,100%,28%
Vermont,92%,35%
North Dakota,85%,42%
South Dakota,85%,42%
New Jersey,80%,47%
Delaware,85%,42%
Nevada,91%,37%
Nebraska,37%,91%
Alabama,98%,29%
Massachusetts,70%,57%
Tennessee,80%,47%
Pennsylvania,84%,43%
Kentucky,96%,32%
Indiana,85%,42%
Rhode Island,64%,64%
Illinois,82%,46%
New York,78%,50%
Maryland,82%,46%
Montana,85%,42%
Arkansas,89%,38%
New Hampshire,48%,79%
Louisiana,85%,42%
Ohio,93%,34%
Hawaii,32%,96%
Connecticut,78%,50%
Minnesota,78%,50%
Wyoming,64%,64%
District of Columbia,61%,66%
Oregon,66%,61%
Washington,57%,70%
Texas,83%,44%
Colorado,69%,58%
Missouri,91%,37%
Iowa,67%,60%
Florida,79%,48%
South Carolina,71%,56%
California,74%,53%
Virginia,74%,53%
Oklahoma,67%,60%
Wisconsin,58%,69%
New Mexico,57%,70%
West Virginia,73%,55%
Mississippi,64%,64%
Michigan,75%,52%
Maine,64%,64%
Kansas,83%,44%
Utah,69%,58%
Georgia,52%,75%
Arizona,62%,65%
North Carolina,70%,57%
Idaho,64%,64%
