Kategorie: Alle Kategorien

Region,Donald Trump: (17.07.16 bis 17.07.16),Hillary Clinton: (17.07.16 bis 17.07.16)
South Dakota,87%,42%
Rhode Island,83%,46%
Vermont,51%,77%
New Jersey,88%,41%
New York,79%,50%
Wyoming,87%,42%
Hawaii,100%,29%
Ohio,79%,50%
Kansas,54%,75%
Connecticut,79%,50%
North Carolina,85%,44%
District of Columbia,72%,57%
Massachusetts,72%,57%
South Carolina,83%,46%
Indiana,70%,59%
Mississippi,70%,59%
Tennessee,75%,54%
Arkansas,75%,54%
Montana,53%,76%
Nebraska,74%,55%
Florida,76%,53%
Illinois,75%,54%
Iowa,87%,42%
California,80%,49%
Delaware,64%,64%
Louisiana,67%,62%
Michigan,81%,48%
Pennsylvania,75%,54%
North Dakota,87%,42%
Nevada,87%,42%
Alabama,77%,51%
Washington,75%,54%
Maine,46%,83%
Wisconsin,66%,63%
Oregon,75%,54%
Alaska,42%,87%
Minnesota,77%,51%
Texas,76%,53%
Maryland,68%,61%
Georgia,70%,59%
Virginia,64%,64%
Oklahoma,79%,50%
Missouri,61%,68%
Utah,85%,44%
New Hampshire,66%,63%
Colorado,72%,57%
Idaho,77%,51%
Kentucky,67%,62%
Arizona,70%,59%
New Mexico,71%,58%
West Virginia,66%,63%
