Kategorie: Alle Kategorien

Region,Donald Trump: (10.02.16 bis 10.02.16),Hillary Clinton: (10.02.16 bis 10.02.16)
New Hampshire,75%,44%
Vermont,77%,43%
Massachusetts,79%,40%
South Carolina,87%,32%
Maine,77%,43%
Rhode Island,81%,38%
New Jersey,83%,37%
Connecticut,77%,43%
Florida,87%,32%
New York,80%,39%
Tennessee,87%,32%
Illinois,85%,34%
Virginia,81%,38%
Louisiana,97%,22%
Maryland,86%,33%
District of Columbia,68%,51%
Oregon,81%,38%
Michigan,85%,34%
Pennsylvania,79%,40%
Alabama,77%,43%
Iowa,80%,39%
North Carolina,86%,33%
Minnesota,78%,42%
Idaho,86%,33%
Wyoming,27%,92%
Ohio,85%,34%
Missouri,91%,28%
California,81%,38%
Indiana,79%,40%
Arizona,91%,28%
Kentucky,81%,38%
Wisconsin,84%,36%
Georgia,81%,38%
Mississippi,73%,46%
Utah,79%,40%
Montana,79%,40%
Delaware,78%,42%
Nevada,91%,28%
Arkansas,72%,48%
Texas,87%,32%
South Dakota,79%,40%
Kansas,79%,40%
New Mexico,72%,48%
Washington,72%,48%
Colorado,85%,34%
Nebraska,85%,34%
Oklahoma,100%,20%
Alaska,72%,48%
North Dakota,95%,25%
West Virginia,89%,31%
Hawaii,65%,55%
