Kategorie: Alle Kategorien

Region,Donald Trump: (01.06.16 bis 01.06.16),Hillary Clinton: (01.06.16 bis 01.06.16)
New Jersey,79%,44%
District of Columbia,76%,46%
Iowa,83%,39%
Montana,100%,23%
Massachusetts,77%,45%
Vermont,50%,72%
California,75%,48%
Alaska,75%,48%
Connecticut,93%,29%
Arkansas,87%,35%
New York,77%,45%
Indiana,96%,27%
Rhode Island,93%,29%
Nevada,96%,27%
Pennsylvania,76%,46%
Nebraska,69%,54%
Hawaii,80%,43%
Michigan,77%,45%
Kentucky,67%,55%
Oregon,91%,32%
Oklahoma,79%,44%
Minnesota,76%,46%
South Carolina,91%,32%
Washington,74%,49%
Illinois,79%,44%
Missouri,80%,43%
Virginia,72%,50%
Florida,86%,37%
Maryland,72%,50%
Arizona,77%,45%
Ohio,79%,44%
New Hampshire,59%,64%
Tennessee,90%,33%
North Carolina,85%,38%
South Dakota,41%,81%
Alabama,86%,37%
Colorado,81%,41%
West Virginia,72%,50%
Delaware,69%,54%
Georgia,81%,41%
Mississippi,91%,32%
Idaho,82%,40%
Texas,82%,40%
Maine,80%,43%
New Mexico,75%,48%
Louisiana,71%,51%
Utah,66%,56%
Wisconsin,74%,49%
Wyoming,61%,61%
North Dakota,75%,48%
Kansas,62%,60%
