Kategorie: Alle Kategorien

Region,Donald Trump: (27.07.16 bis 27.07.16),Hillary Clinton: (27.07.16 bis 27.07.16)
District of Columbia,56%,88%
Delaware,65%,79%
Pennsylvania,66%,78%
Massachusetts,62%,82%
Illinois,62%,82%
New York,65%,79%
Rhode Island,59%,85%
New Jersey,69%,75%
West Virginia,57%,86%
Kansas,55%,89%
Louisiana,62%,82%
Maryland,68%,76%
Alaska,50%,94%
Arizona,62%,82%
Florida,63%,81%
Colorado,59%,85%
Oklahoma,55%,89%
Minnesota,65%,79%
Virginia,68%,76%
Montana,56%,88%
Mississippi,72%,72%
New Mexico,46%,98%
Connecticut,68%,76%
California,62%,82%
Arkansas,63%,81%
Washington,66%,78%
North Dakota,52%,92%
Ohio,68%,76%
Hawaii,44%,100%
Nevada,47%,97%
Tennessee,62%,82%
Indiana,62%,82%
Texas,62%,82%
Nebraska,49%,95%
Georgia,65%,79%
North Carolina,62%,82%
Iowa,63%,81%
Wisconsin,62%,82%
Michigan,60%,84%
South Carolina,63%,81%
Alabama,65%,79%
South Dakota,60%,84%
Maine,60%,84%
New Hampshire,68%,76%
Kentucky,71%,73%
Missouri,71%,73%
Oregon,60%,84%
Vermont,56%,88%
Idaho,62%,82%
Utah,62%,82%
Wyoming,71%,73%
