Kategorie: Alle Kategorien

Region,Donald Trump: (10.07.16 bis 10.07.16),Hillary Clinton: (10.07.16 bis 10.07.16)
Montana,87%,49%
Nevada,89%,47%
Alaska,98%,38%
Kentucky,79%,57%
Idaho,39%,97%
Maine,52%,84%
Delaware,91%,45%
New Hampshire,80%,56%
Wyoming,82%,54%
West Virginia,100%,36%
Colorado,78%,58%
Vermont,78%,58%
New Jersey,78%,58%
Tennessee,87%,49%
Ohio,87%,49%
Hawaii,72%,64%
Virginia,75%,61%
Connecticut,87%,49%
Indiana,76%,60%
New York,79%,57%
New Mexico,64%,72%
Arizona,76%,60%
Massachusetts,80%,56%
Oklahoma,58%,78%
Rhode Island,54%,82%
Michigan,78%,58%
California,82%,54%
Florida,80%,56%
District of Columbia,89%,47%
Pennsylvania,72%,64%
Iowa,75%,61%
North Dakota,54%,82%
Minnesota,72%,64%
Oregon,68%,68%
Georgia,84%,52%
North Carolina,73%,63%
Maryland,73%,63%
Mississippi,82%,54%
Washington,72%,64%
Nebraska,82%,54%
Texas,78%,58%
Illinois,69%,67%
Missouri,78%,58%
Alabama,78%,58%
Kansas,75%,61%
South Carolina,71%,65%
Utah,50%,86%
Louisiana,86%,50%
Arkansas,73%,63%
South Dakota,68%,68%
Wisconsin,68%,68%
