Kategorie: Alle Kategorien

Region,Donald Trump: (25.05.16 bis 25.05.16),Hillary Clinton: (25.05.16 bis 25.05.16)
New Mexico,100%,13%
North Dakota,90%,22%
Vermont,68%,45%
Maine,78%,35%
Washington,75%,38%
California,70%,43%
Montana,88%,25%
Connecticut,84%,29%
Rhode Island,82%,30%
South Dakota,73%,39%
Mississippi,95%,18%
New York,68%,45%
Alaska,86%,27%
Florida,73%,39%
Kansas,73%,39%
Wyoming,57%,55%
New Jersey,68%,45%
Maryland,61%,52%
Pennsylvania,75%,38%
District of Columbia,57%,55%
Nevada,77%,36%
Massachusetts,62%,51%
Oregon,69%,44%
Indiana,76%,37%
South Carolina,67%,46%
Oklahoma,73%,39%
Virginia,62%,51%
Kentucky,65%,47%
Tennessee,68%,45%
Louisiana,78%,35%
Hawaii,63%,50%
Texas,70%,43%
Alabama,76%,37%
Minnesota,70%,43%
Illinois,63%,50%
New Hampshire,64%,48%
Delaware,38%,75%
Michigan,69%,44%
Ohio,72%,40%
Arizona,73%,39%
Missouri,81%,31%
West Virginia,53%,60%
Georgia,71%,42%
Arkansas,47%,65%
North Carolina,64%,48%
Iowa,52%,61%
Nebraska,79%,34%
Wisconsin,65%,47%
Colorado,56%,56%
Utah,50%,63%
Idaho,57%,55%
