Kategorie: Alle Kategorien

Region,Donald Trump: (01.04.16 bis 01.04.16),Hillary Clinton: (01.04.16 bis 01.04.16)
Wisconsin,79%,39%
Hawaii,100%,19%
North Dakota,78%,40%
Oklahoma,90%,28%
New York,79%,39%
Pennsylvania,83%,35%
South Dakota,92%,26%
Montana,89%,29%
Maine,76%,42%
Utah,84%,34%
Connecticut,76%,42%
New Hampshire,83%,35%
Massachusetts,88%,30%
New Jersey,80%,38%
Rhode Island,100%,19%
California,86%,32%
Delaware,85%,33%
Nevada,91%,27%
Washington,77%,41%
West Virginia,67%,51%
District of Columbia,83%,35%
Illinois,79%,39%
Florida,86%,32%
Arkansas,75%,44%
Indiana,83%,35%
Missouri,86%,32%
Iowa,90%,28%
Mississippi,96%,22%
Georgia,80%,38%
North Carolina,80%,38%
Virginia,78%,40%
Maryland,76%,42%
Ohio,83%,35%
Arizona,76%,42%
Texas,86%,32%
Tennessee,77%,41%
Colorado,78%,40%
Kentucky,78%,40%
Michigan,83%,35%
Minnesota,76%,42%
Louisiana,79%,39%
Oregon,73%,45%
Alabama,76%,42%
Alaska,60%,58%
Idaho,55%,63%
Nebraska,72%,46%
South Carolina,79%,39%
New Mexico,66%,52%
Vermont,54%,64%
Wyoming,72%,46%
Kansas,78%,40%
