Kategorie: Alle Kategorien

Region,Donald Trump: (06.07.16 bis 06.07.16),Hillary Clinton: (06.07.16 bis 06.07.16)
Wyoming,46%,78%
West Virginia,55%,70%
Delaware,61%,63%
New Hampshire,25%,100%
District of Columbia,45%,80%
Vermont,41%,83%
Mississippi,37%,87%
Nebraska,38%,86%
New Jersey,52%,72%
Tennessee,53%,71%
Colorado,36%,88%
Alabama,43%,81%
Wisconsin,40%,85%
North Dakota,41%,83%
Missouri,45%,80%
North Carolina,46%,78%
Oregon,40%,85%
Arkansas,45%,80%
Connecticut,51%,73%
Iowa,52%,72%
Minnesota,46%,78%
Washington,46%,78%
Maryland,58%,66%
Illinois,48%,76%
Ohio,55%,70%
Idaho,30%,95%
Virginia,50%,75%
Pennsylvania,53%,71%
South Carolina,60%,65%
Utah,35%,90%
Kentucky,56%,68%
Massachusetts,58%,66%
New York,58%,66%
Florida,56%,68%
New Mexico,50%,75%
Arizona,52%,72%
Michigan,47%,77%
California,57%,67%
Texas,48%,76%
Montana,47%,77%
Hawaii,45%,80%
Oklahoma,50%,75%
Maine,52%,72%
Louisiana,58%,66%
Indiana,58%,66%
Georgia,55%,70%
Kansas,50%,75%
Nevada,60%,65%
South Dakota,41%,83%
Rhode Island,55%,70%
Alaska,48%,76%
