Kategorie: Alle Kategorien

Region,Donald Trump: (20.03.16 bis 20.03.16),Hillary Clinton: (20.03.16 bis 20.03.16)
Arizona,97%,13%
Utah,93%,17%
New Hampshire,91%,20%
New Mexico,80%,31%
Rhode Island,98%,12%
Maine,94%,16%
Nebraska,95%,15%
New Jersey,88%,22%
New York,87%,23%
Mississippi,80%,31%
Florida,93%,17%
Michigan,92%,18%
District of Columbia,83%,27%
Oregon,93%,17%
Connecticut,83%,27%
Washington,77%,33%
Massachusetts,87%,23%
West Virginia,81%,30%
Idaho,70%,41%
North Carolina,95%,15%
Missouri,87%,23%
Hawaii,88%,22%
Georgia,95%,15%
Illinois,90%,21%
Minnesota,86%,24%
California,91%,20%
Pennsylvania,85%,25%
Ohio,88%,22%
Tennessee,92%,18%
Maryland,87%,23%
Kansas,95%,15%
Nevada,83%,27%
Texas,87%,23%
Virginia,91%,20%
Vermont,72%,38%
Indiana,96%,14%
Oklahoma,100%,11%
Louisiana,94%,16%
Arkansas,87%,23%
Kentucky,81%,30%
South Carolina,86%,24%
Wisconsin,94%,16%
Wyoming,75%,35%
Montana,80%,31%
North Dakota,68%,42%
Alabama,90%,21%
Iowa,88%,22%
Colorado,76%,34%
Delaware,48%,62%
Alaska,76%,34%
South Dakota,57%,53%
