Kategorie: Alle Kategorien

Region,Donald Trump: (28.01.16 bis 28.01.16),Hillary Clinton: (28.01.16 bis 28.01.16)
Iowa,76%,32%
Montana,93%,16%
West Virginia,95%,14%
New Hampshire,81%,28%
Maine,86%,23%
Nebraska,96%,13%
South Carolina,96%,13%
Mississippi,96%,13%
New Jersey,87%,21%
Rhode Island,87%,21%
North Carolina,96%,13%
Oklahoma,94%,15%
Indiana,94%,15%
Massachusetts,92%,17%
Virginia,97%,12%
Connecticut,90%,19%
Vermont,68%,41%
New York,91%,18%
Louisiana,95%,14%
Pennsylvania,91%,18%
Wyoming,69%,40%
Michigan,90%,19%
Minnesota,92%,17%
Ohio,90%,19%
Florida,93%,16%
Wisconsin,90%,19%
Delaware,94%,15%
Arizona,100%,9%
Alabama,97%,12%
Illinois,90%,19%
Nevada,90%,19%
Georgia,91%,18%
Washington,86%,23%
Alaska,82%,27%
Tennessee,92%,17%
North Dakota,90%,19%
Kansas,93%,16%
Missouri,85%,24%
Utah,93%,16%
Maryland,89%,20%
District of Columbia,80%,29%
Arkansas,79%,30%
Kentucky,87%,21%
California,89%,20%
South Dakota,75%,34%
Colorado,90%,19%
Oregon,89%,20%
New Mexico,85%,24%
Texas,91%,18%
Hawaii,69%,40%
Idaho,84%,25%
