Kategorie: Alle Kategorien

Region,Donald Trump: (09.10.16 bis 09.10.16),Hillary Clinton: (09.10.16 bis 09.10.16)
Rhode Island,87%,24%
New York,93%,19%
District of Columbia,94%,17%
Maine,87%,24%
New Jersey,87%,24%
Maryland,92%,20%
Connecticut,88%,23%
Missouri,85%,26%
Ohio,87%,24%
Minnesota,91%,21%
Pennsylvania,83%,29%
Kentucky,87%,24%
Delaware,84%,28%
Illinois,88%,23%
Alabama,91%,21%
Massachusetts,85%,26%
West Virginia,80%,31%
Nevada,92%,20%
Florida,86%,25%
Michigan,84%,28%
Virginia,88%,23%
Oklahoma,94%,17%
Tennessee,92%,20%
Washington,89%,22%
Alaska,85%,26%
Wisconsin,86%,25%
Colorado,87%,24%
Iowa,85%,26%
Georgia,88%,23%
California,88%,23%
Utah,93%,19%
New Hampshire,83%,29%
Indiana,85%,26%
Vermont,94%,17%
Arkansas,89%,22%
Oregon,86%,25%
New Mexico,97%,14%
North Carolina,91%,21%
South Carolina,94%,17%
Hawaii,100%,12%
Mississippi,91%,21%
Louisiana,92%,20%
Arizona,86%,25%
Texas,88%,23%
Nebraska,86%,25%
Idaho,82%,30%
South Dakota,86%,25%
Kansas,78%,33%
Montana,83%,29%
Wyoming,77%,34%
North Dakota,83%,29%
