Kategorie: Alle Kategorien

Region,Donald Trump: (03.07.16 bis 03.07.16),Hillary Clinton: (03.07.16 bis 03.07.16)
Wyoming,85%,33%
Montana,39%,79%
South Dakota,89%,29%
New Hampshire,57%,61%
Rhode Island,100%,19%
Alaska,71%,47%
Vermont,66%,52%
Maine,46%,72%
Maryland,60%,58%
New Jersey,61%,57%
Oregon,50%,69%
West Virginia,45%,73%
Ohio,51%,67%
Colorado,60%,58%
New York,58%,60%
Alabama,41%,77%
Delaware,59%,59%
Washington,50%,69%
Connecticut,54%,64%
Hawaii,66%,52%
Kansas,39%,79%
Massachusetts,59%,59%
Virginia,59%,59%
District of Columbia,52%,66%
Mississippi,30%,88%
Nebraska,61%,57%
Pennsylvania,57%,61%
Indiana,60%,58%
Kentucky,52%,66%
Arkansas,53%,65%
Oklahoma,46%,72%
North Dakota,59%,59%
North Carolina,50%,69%
Michigan,64%,54%
Arizona,47%,71%
New Mexico,76%,42%
Illinois,63%,55%
Georgia,67%,51%
Florida,64%,54%
California,60%,58%
Tennessee,59%,59%
Minnesota,61%,57%
Texas,61%,57%
Missouri,58%,60%
Louisiana,66%,52%
South Carolina,58%,60%
Nevada,61%,57%
Iowa,65%,53%
Idaho,53%,65%
Utah,71%,47%
Wisconsin,63%,55%
