Kategorie: Alle Kategorien

Region,Donald Trump: (12.06.16 bis 12.06.16),Hillary Clinton: (12.06.16 bis 12.06.16)
New Hampshire,92%,39%
New Jersey,92%,39%
Rhode Island,97%,34%
Maryland,86%,44%
Vermont,53%,77%
Pennsylvania,84%,47%
New York,85%,46%
Connecticut,85%,46%
Florida,92%,39%
District of Columbia,85%,46%
Illinois,86%,44%
Nebraska,80%,51%
West Virginia,100%,31%
California,81%,50%
Idaho,85%,46%
Colorado,84%,47%
Wisconsin,90%,40%
Massachusetts,78%,52%
Minnesota,82%,48%
North Carolina,92%,39%
Maine,73%,57%
Georgia,86%,44%
Washington,78%,52%
Virginia,80%,51%
Arizona,82%,48%
Oregon,57%,73%
Delaware,92%,39%
Louisiana,92%,39%
New Mexico,98%,32%
Ohio,85%,46%
Indiana,76%,55%
Nevada,86%,44%
Utah,73%,57%
Mississippi,81%,50%
Alaska,55%,76%
Texas,89%,42%
Michigan,84%,47%
South Carolina,84%,47%
North Dakota,67%,64%
Alabama,72%,59%
Tennessee,73%,57%
Kentucky,84%,47%
Kansas,86%,44%
Wyoming,57%,73%
Iowa,77%,53%
Oklahoma,59%,72%
Hawaii,63%,68%
Missouri,77%,53%
Arkansas,77%,53%
South Dakota,88%,43%
Montana,76%,55%
