Kategorie: Alle Kategorien

Region,Donald Trump: (28.09.16 bis 28.09.16),Hillary Clinton: (28.09.16 bis 28.09.16)
Wyoming,76%,73%
Connecticut,89%,59%
New Hampshire,55%,94%
Maine,61%,88%
District of Columbia,85%,64%
New Jersey,82%,67%
West Virginia,68%,80%
Delaware,92%,56%
Vermont,82%,67%
Washington,83%,65%
Pennsylvania,77%,71%
Illinois,86%,62%
Kentucky,68%,80%
South Dakota,89%,59%
Florida,79%,70%
New York,77%,71%
California,85%,64%
Ohio,71%,77%
Hawaii,98%,50%
Massachusetts,77%,71%
Nevada,83%,65%
North Carolina,79%,70%
Nebraska,86%,62%
Colorado,89%,59%
Maryland,79%,70%
Rhode Island,76%,73%
Iowa,76%,73%
New Mexico,86%,62%
Arkansas,79%,70%
Minnesota,83%,65%
Indiana,65%,83%
Alabama,71%,77%
Wisconsin,97%,52%
Virginia,77%,71%
Arizona,82%,67%
Oklahoma,83%,65%
South Carolina,70%,79%
Louisiana,76%,73%
Michigan,77%,71%
Texas,83%,65%
Oregon,86%,62%
Mississippi,74%,74%
Missouri,76%,73%
Georgia,73%,76%
Tennessee,77%,71%
Kansas,70%,79%
North Dakota,91%,58%
Idaho,73%,76%
Alaska,100%,49%
Montana,62%,86%
Utah,74%,74%
