Kategorie: Alle Kategorien

Region,Donald Trump: (14.10.16 bis 14.10.16),Hillary Clinton: (14.10.16 bis 14.10.16)
Vermont,100%,31%
Alaska,81%,50%
Connecticut,84%,47%
Rhode Island,88%,43%
Delaware,85%,46%
Montana,80%,51%
New York,85%,46%
Pennsylvania,85%,46%
Maryland,92%,39%
Massachusetts,90%,40%
New Mexico,100%,31%
Ohio,85%,46%
Missouri,90%,40%
New Jersey,84%,47%
Michigan,82%,48%
Illinois,85%,46%
North Carolina,89%,42%
Minnesota,85%,46%
Florida,86%,44%
South Dakota,82%,48%
District of Columbia,85%,46%
Alabama,89%,42%
Utah,89%,42%
Kentucky,82%,48%
Arkansas,78%,52%
California,90%,40%
Oklahoma,82%,48%
New Hampshire,92%,39%
Virginia,81%,50%
Wisconsin,86%,44%
Washington,73%,57%
Maine,78%,52%
Idaho,84%,47%
Louisiana,86%,44%
Nevada,82%,48%
Colorado,84%,47%
Georgia,90%,40%
Iowa,80%,51%
Oregon,90%,40%
Nebraska,85%,46%
Tennessee,81%,50%
Texas,88%,43%
Arizona,84%,47%
Indiana,80%,51%
West Virginia,65%,65%
Hawaii,77%,53%
South Carolina,80%,51%
Mississippi,82%,48%
Kansas,72%,59%
North Dakota,100%,31%
Wyoming,67%,64%
