Kategorie: Alle Kategorien

Region,Donald Trump: (03.05.16 bis 03.05.16),Hillary Clinton: (03.05.16 bis 03.05.16)
Indiana,93%,28%
Wyoming,71%,50%
West Virginia,63%,58%
Delaware,95%,26%
Vermont,29%,92%
Connecticut,82%,39%
Pennsylvania,87%,34%
Maine,82%,39%
New Jersey,84%,37%
Illinois,87%,34%
Kentucky,81%,40%
Nevada,81%,40%
Alabama,90%,31%
New York,82%,39%
South Carolina,87%,34%
California,90%,31%
Georgia,97%,24%
Massachusetts,87%,34%
Tennessee,93%,28%
Ohio,81%,40%
Michigan,91%,30%
District of Columbia,71%,50%
Missouri,90%,31%
Montana,98%,23%
Florida,92%,29%
Iowa,85%,36%
Maryland,79%,42%
Washington,89%,32%
Oregon,86%,35%
Minnesota,85%,36%
Louisiana,82%,39%
Kansas,92%,29%
North Carolina,90%,31%
Idaho,100%,21%
Alaska,92%,29%
Arkansas,90%,31%
North Dakota,82%,39%
Colorado,87%,34%
Virginia,79%,42%
Texas,91%,30%
New Mexico,80%,41%
Arizona,87%,34%
Hawaii,85%,36%
Rhode Island,80%,41%
South Dakota,87%,34%
Mississippi,81%,40%
Nebraska,89%,32%
New Hampshire,78%,43%
Wisconsin,74%,47%
Oklahoma,82%,39%
Utah,82%,39%
