Kategorie: Alle Kategorien

Region,Donald Trump: (09.08.16 bis 09.08.16),Hillary Clinton: (09.08.16 bis 09.08.16)
Pennsylvania,87%,53%
Connecticut,94%,46%
Maryland,94%,46%
West Virginia,97%,43%
North Carolina,100%,40%
New Jersey,88%,52%
Georgia,91%,49%
New Mexico,81%,59%
District of Columbia,76%,64%
California,92%,47%
New York,87%,53%
Massachusetts,80%,60%
Ohio,83%,57%
North Dakota,76%,64%
Rhode Island,81%,59%
Indiana,83%,57%
Oregon,81%,59%
South Dakota,71%,69%
Missouri,64%,76%
Florida,71%,69%
Illinois,88%,52%
Kentucky,71%,69%
Arkansas,61%,78%
Michigan,80%,60%
Minnesota,81%,59%
Maine,69%,71%
Alabama,88%,52%
Virginia,77%,63%
Kansas,81%,59%
Iowa,77%,63%
Washington,78%,61%
Delaware,66%,74%
Texas,87%,53%
Hawaii,74%,66%
Colorado,90%,50%
Oklahoma,78%,61%
Tennessee,73%,67%
Arizona,78%,61%
South Carolina,77%,63%
Montana,70%,70%
New Hampshire,60%,80%
Wisconsin,66%,74%
Mississippi,81%,59%
Nevada,84%,56%
Alaska,78%,61%
Louisiana,73%,67%
Vermont,94%,46%
Idaho,85%,54%
Utah,80%,60%
Wyoming,71%,69%
Nebraska,71%,69%
