Kategorie: Alle Kategorien

Region,Donald Trump: (18.03.16 bis 18.03.16),Hillary Clinton: (18.03.16 bis 18.03.16)
Utah,88%,22%
Alaska,98%,12%
New Hampshire,86%,24%
North Dakota,90%,21%
Arizona,85%,25%
Montana,95%,15%
Vermont,71%,40%
New Jersey,91%,20%
Missouri,92%,18%
Illinois,90%,21%
Florida,91%,20%
Connecticut,87%,23%
Pennsylvania,92%,18%
New York,88%,22%
Ohio,94%,16%
Massachusetts,84%,26%
North Carolina,88%,22%
Virginia,93%,17%
Washington,84%,26%
California,87%,23%
Maine,94%,16%
Maryland,85%,25%
Michigan,86%,24%
Louisiana,80%,31%
Wyoming,80%,31%
District of Columbia,81%,30%
Alabama,91%,20%
Georgia,88%,22%
Texas,91%,20%
Arkansas,77%,33%
Tennessee,91%,20%
New Mexico,80%,31%
Delaware,85%,25%
Mississippi,78%,32%
Rhode Island,91%,20%
Colorado,90%,21%
Iowa,90%,21%
Idaho,85%,25%
Indiana,85%,25%
Nevada,80%,31%
Oregon,86%,24%
Minnesota,87%,23%
Wisconsin,84%,26%
Kansas,86%,24%
Kentucky,80%,31%
Oklahoma,100%,11%
Nebraska,84%,26%
South Carolina,83%,27%
Hawaii,85%,25%
South Dakota,72%,38%
West Virginia,64%,46%
