Kategorie: Alle Kategorien

Region,Donald Trump: (17.03.16 bis 17.03.16),Hillary Clinton: (17.03.16 bis 17.03.16)
New Hampshire,100%,16%
Illinois,86%,30%
New Jersey,95%,20%
Nevada,98%,17%
Arizona,90%,25%
District of Columbia,88%,27%
Florida,91%,24%
Utah,91%,24%
Montana,89%,26%
Mississippi,90%,25%
Missouri,96%,19%
North Carolina,91%,24%
Alaska,86%,30%
Virginia,90%,25%
Ohio,87%,29%
Pennsylvania,90%,25%
Rhode Island,95%,20%
Wyoming,96%,19%
Michigan,89%,26%
New York,84%,31%
Colorado,91%,24%
California,91%,24%
Minnesota,88%,27%
Maryland,91%,24%
Louisiana,91%,24%
Connecticut,97%,18%
Delaware,94%,22%
Vermont,83%,32%
Massachusetts,91%,24%
Oregon,89%,26%
Wisconsin,96%,19%
North Dakota,79%,37%
Washington,89%,26%
Maine,98%,17%
South Carolina,89%,26%
Indiana,95%,20%
New Mexico,80%,36%
Kentucky,95%,20%
Tennessee,89%,26%
Arkansas,96%,19%
Georgia,87%,29%
Oklahoma,87%,29%
Texas,91%,24%
Alabama,93%,23%
South Dakota,87%,29%
Nebraska,80%,36%
West Virginia,82%,33%
Iowa,90%,25%
Idaho,88%,27%
Kansas,93%,23%
Hawaii,79%,37%
