Kategorie: Alle Kategorien

Region,Donald Trump: (09.09.16 bis 09.09.16),Hillary Clinton: (09.09.16 bis 09.09.16)
Montana,100%,38%
New Jersey,86%,52%
Rhode Island,52%,86%
South Dakota,93%,45%
Wyoming,62%,76%
Pennsylvania,77%,61%
Nevada,77%,61%
Washington,81%,56%
Alaska,63%,75%
Florida,77%,61%
West Virginia,80%,58%
Missouri,77%,61%
District of Columbia,81%,56%
Tennessee,83%,55%
New York,72%,66%
Vermont,62%,76%
Massachusetts,68%,70%
Arkansas,66%,72%
Virginia,65%,73%
Oklahoma,73%,65%
Ohio,69%,69%
Kansas,77%,61%
California,76%,62%
North Carolina,68%,70%
Iowa,83%,55%
Delaware,51%,87%
Alabama,84%,54%
Arizona,66%,72%
Connecticut,72%,66%
Minnesota,70%,68%
Maryland,75%,63%
Indiana,79%,59%
Wisconsin,84%,54%
Georgia,77%,61%
South Carolina,73%,65%
Maine,73%,65%
Nebraska,65%,73%
Kentucky,61%,77%
Utah,62%,76%
Michigan,80%,58%
Colorado,70%,68%
Texas,81%,56%
New Mexico,76%,62%
Illinois,68%,70%
Mississippi,81%,56%
Louisiana,69%,69%
Hawaii,77%,61%
Idaho,69%,69%
Oregon,65%,73%
New Hampshire,76%,62%
North Dakota,55%,83%
