Kategorie: Alle Kategorien

Region,Donald Trump: (18.05.16 bis 18.05.16),Hillary Clinton: (18.05.16 bis 18.05.16)
West Virginia,79%,32%
Oklahoma,88%,23%
New Mexico,92%,20%
Alabama,95%,16%
Rhode Island,77%,34%
Maryland,83%,29%
Delaware,98%,13%
Oregon,67%,44%
New Jersey,75%,37%
District of Columbia,74%,38%
Montana,74%,38%
South Dakota,93%,19%
New York,78%,33%
Hawaii,83%,29%
New Hampshire,78%,33%
Pennsylvania,80%,31%
Arkansas,93%,19%
Minnesota,86%,25%
Nevada,76%,35%
Indiana,85%,26%
Kentucky,66%,46%
California,77%,34%
Vermont,53%,58%
Mississippi,84%,28%
Massachusetts,74%,38%
Florida,80%,31%
Virginia,75%,37%
Illinois,79%,32%
Tennessee,77%,34%
Colorado,85%,26%
Iowa,100%,12%
Arizona,84%,28%
Maine,64%,48%
Ohio,80%,31%
Connecticut,69%,42%
Missouri,78%,33%
North Dakota,67%,44%
South Carolina,88%,23%
Georgia,79%,32%
Nebraska,65%,47%
Idaho,68%,43%
Texas,83%,29%
North Carolina,75%,37%
Washington,69%,42%
Michigan,82%,30%
Louisiana,69%,42%
Wyoming,57%,55%
Wisconsin,75%,37%
Kansas,82%,30%
Utah,74%,38%
Alaska,76%,35%
