Kategorie: Alle Kategorien

Region,Donald Trump: (02.05.16 bis 02.05.16),Hillary Clinton: (02.05.16 bis 02.05.16)
Indiana,86%,27%
West Virginia,45%,68%
Wyoming,86%,27%
Connecticut,77%,36%
South Dakota,77%,36%
Iowa,98%,14%
Maine,73%,39%
District of Columbia,85%,28%
Vermont,73%,39%
New Hampshire,94%,19%
New Jersey,77%,36%
Pennsylvania,75%,38%
Arizona,85%,28%
Kentucky,72%,40%
Missouri,79%,34%
Delaware,67%,46%
Rhode Island,63%,50%
Nevada,79%,34%
Minnesota,79%,34%
California,78%,35%
New York,73%,39%
Virginia,82%,30%
Michigan,77%,36%
New Mexico,100%,13%
Tennessee,79%,34%
Alabama,82%,30%
Illinois,78%,35%
South Carolina,81%,31%
Montana,69%,44%
Florida,77%,36%
Ohio,77%,36%
Wisconsin,88%,25%
Maryland,79%,34%
Massachusetts,68%,45%
Oregon,59%,54%
Oklahoma,79%,34%
Idaho,68%,45%
Kansas,75%,38%
Washington,81%,31%
Utah,86%,27%
Colorado,70%,43%
Nebraska,60%,53%
North Carolina,77%,36%
Texas,77%,36%
Georgia,78%,35%
Alaska,77%,36%
North Dakota,77%,36%
Louisiana,79%,34%
Hawaii,73%,39%
Arkansas,65%,47%
Mississippi,64%,48%
