Kategorie: Alle Kategorien

Region,Donald Trump: (13.09.16 bis 13.09.16),Hillary Clinton: (13.09.16 bis 13.09.16)
Maine,5%,100%
Vermont,22%,83%
New Hampshire,27%,77%
Arkansas,17%,87%
Connecticut,21%,84%
Indiana,25%,80%
Ohio,22%,83%
Alabama,22%,83%
Wyoming,11%,93%
Montana,27%,77%
Arizona,20%,85%
Missouri,26%,78%
District of Columbia,20%,85%
New Mexico,16%,88%
Tennessee,22%,83%
Georgia,16%,88%
Michigan,23%,82%
Pennsylvania,26%,78%
New York,22%,83%
Idaho,24%,81%
South Carolina,21%,84%
Nevada,24%,81%
Mississippi,18%,86%
Rhode Island,30%,74%
Maryland,26%,78%
Florida,24%,81%
Illinois,26%,78%
Virginia,23%,82%
Nebraska,20%,85%
Wisconsin,24%,81%
Oklahoma,26%,78%
Colorado,15%,89%
Kentucky,18%,86%
North Dakota,14%,90%
South Dakota,32%,72%
West Virginia,30%,74%
Louisiana,24%,81%
Washington,27%,77%
Iowa,31%,73%
New Jersey,29%,75%
Massachusetts,25%,80%
California,25%,80%
Delaware,29%,75%
North Carolina,27%,77%
Texas,24%,81%
Minnesota,27%,77%
Utah,18%,86%
Kansas,30%,74%
Hawaii,17%,87%
Alaska,13%,91%
Oregon,18%,86%
