Kategorie: Alle Kategorien

Region,Donald Trump: (01.09.16 bis 01.09.16),Hillary Clinton: (01.09.16 bis 01.09.16)
Arizona,91%,33%
Montana,72%,52%
California,95%,30%
Vermont,88%,36%
District of Columbia,76%,48%
Connecticut,86%,38%
Louisiana,91%,33%
Indiana,90%,35%
Illinois,88%,36%
Massachusetts,87%,37%
Ohio,83%,41%
Pennsylvania,85%,40%
Alaska,72%,52%
Georgia,93%,31%
Rhode Island,77%,47%
Texas,92%,32%
Florida,91%,33%
New Jersey,82%,42%
New York,82%,42%
New Mexico,76%,48%
Minnesota,86%,38%
Washington,86%,38%
Mississippi,87%,37%
Colorado,92%,32%
Nevada,81%,43%
Maryland,85%,40%
North Carolina,85%,40%
Missouri,86%,38%
North Dakota,88%,36%
Kansas,91%,33%
Virginia,86%,38%
Iowa,73%,51%
Nebraska,76%,48%
Tennessee,86%,38%
New Hampshire,63%,61%
Arkansas,63%,61%
Alabama,78%,46%
Maine,100%,25%
South Carolina,75%,50%
West Virginia,82%,42%
Kentucky,78%,46%
Oklahoma,83%,41%
Wisconsin,88%,36%
Michigan,81%,43%
Utah,81%,43%
Idaho,77%,47%
Hawaii,90%,35%
South Dakota,91%,33%
Oregon,82%,42%
Delaware,58%,66%
Wyoming,51%,73%
