Kategorie: Alle Kategorien

Region,Donald Trump: (24.08.16 bis 24.08.16),Hillary Clinton: (24.08.16 bis 24.08.16)
Mississippi,100%,26%
Vermont,41%,84%
Delaware,79%,46%
Oklahoma,83%,43%
Connecticut,83%,43%
District of Columbia,68%,58%
Louisiana,78%,48%
Nevada,82%,44%
Montana,43%,83%
Florida,73%,53%
New York,75%,50%
Rhode Island,53%,73%
Wyoming,84%,41%
Missouri,72%,54%
Texas,79%,46%
South Carolina,81%,45%
New Hampshire,73%,53%
Ohio,65%,60%
Oregon,75%,50%
Alaska,31%,94%
Washington,75%,50%
Maryland,73%,53%
California,75%,50%
New Jersey,67%,59%
Indiana,75%,50%
Massachusetts,69%,56%
Michigan,77%,49%
Pennsylvania,64%,62%
Illinois,75%,50%
Virginia,73%,53%
Kansas,59%,67%
Kentucky,51%,74%
South Dakota,63%,63%
West Virginia,63%,63%
Arkansas,83%,43%
Arizona,73%,53%
Tennessee,68%,58%
Wisconsin,65%,60%
North Carolina,73%,53%
Maine,84%,41%
Nebraska,59%,67%
Georgia,62%,64%
Colorado,65%,60%
Alabama,67%,59%
Minnesota,51%,74%
New Mexico,59%,67%
Hawaii,35%,91%
Iowa,62%,64%
Utah,75%,50%
Idaho,70%,55%
North Dakota,64%,62%
