Kategorie: Alle Kategorien

Region,Donald Trump: (02.10.16 bis 02.10.16),Hillary Clinton: (02.10.16 bis 02.10.16)
Vermont,100%,17%
New Hampshire,88%,29%
Rhode Island,78%,38%
New Jersey,78%,38%
District of Columbia,77%,40%
Massachusetts,74%,43%
Pennsylvania,71%,45%
New York,76%,41%
Maryland,80%,37%
Nevada,84%,32%
Connecticut,80%,37%
Illinois,80%,37%
Colorado,75%,42%
Virginia,75%,42%
Ohio,74%,43%
Hawaii,78%,38%
Michigan,74%,43%
Delaware,74%,43%
Louisiana,88%,29%
California,77%,40%
Maine,89%,28%
North Carolina,71%,45%
Missouri,75%,42%
Iowa,76%,41%
Kentucky,76%,41%
Minnesota,72%,44%
Florida,69%,48%
Tennessee,82%,35%
Oregon,88%,29%
North Dakota,40%,77%
Arkansas,68%,49%
Washington,71%,45%
Georgia,74%,43%
Wisconsin,74%,43%
Alabama,77%,40%
South Carolina,72%,44%
Arizona,67%,50%
Kansas,71%,45%
Indiana,77%,40%
New Mexico,87%,30%
South Dakota,89%,28%
Texas,75%,42%
Mississippi,61%,56%
Nebraska,63%,54%
West Virginia,65%,51%
Wyoming,60%,57%
Oklahoma,71%,45%
Utah,64%,52%
Montana,54%,63%
Idaho,63%,54%
Alaska,60%,57%
