Kategorie: Alle Kategorien

Region,Donald Trump: (27.10.16 bis 27.10.16),Hillary Clinton: (27.10.16 bis 27.10.16)
New Jersey,88%,61%
Delaware,94%,55%
Nevada,91%,58%
New York,92%,56%
Pennsylvania,88%,61%
Ohio,92%,56%
Nebraska,100%,49%
Florida,83%,65%
Alaska,82%,67%
Massachusetts,88%,61%
South Dakota,89%,59%
Arizona,94%,55%
New Hampshire,85%,64%
Iowa,70%,79%
California,94%,55%
District of Columbia,79%,70%
Washington,86%,62%
Maryland,88%,61%
Michigan,88%,61%
Illinois,88%,61%
Connecticut,74%,74%
North Carolina,79%,70%
Virginia,85%,64%
Louisiana,95%,53%
West Virginia,92%,56%
South Carolina,83%,65%
Colorado,86%,62%
Georgia,82%,67%
Texas,88%,61%
Kentucky,88%,61%
Mississippi,88%,61%
Minnesota,80%,68%
New Mexico,95%,53%
Alabama,88%,61%
Wisconsin,86%,62%
Missouri,77%,71%
Oklahoma,83%,65%
Tennessee,76%,73%
Rhode Island,80%,68%
Indiana,80%,68%
Hawaii,88%,61%
Maine,83%,65%
Wyoming,68%,80%
Oregon,80%,68%
Kansas,79%,70%
Arkansas,80%,68%
Montana,89%,59%
Utah,80%,68%
North Dakota,62%,86%
Idaho,70%,79%
Vermont,68%,80%
