Kategorie: Alle Kategorien

Region,Donald Trump: (11.10.16 bis 11.10.16),Hillary Clinton: (11.10.16 bis 11.10.16)
Wyoming,100%,29%
District of Columbia,89%,40%
New Hampshire,84%,45%
New Jersey,90%,38%
Rhode Island,98%,31%
Kentucky,88%,41%
Pennsylvania,87%,42%
Maine,90%,38%
Connecticut,87%,42%
Massachusetts,87%,42%
New York,87%,42%
New Mexico,96%,33%
Michigan,83%,46%
Wisconsin,88%,41%
Minnesota,87%,42%
Georgia,88%,41%
Delaware,90%,38%
Mississippi,88%,41%
Ohio,83%,46%
Florida,84%,45%
Louisiana,88%,41%
Tennessee,87%,42%
South Dakota,88%,41%
Missouri,83%,46%
Washington,84%,45%
California,89%,40%
Iowa,87%,42%
Maryland,89%,40%
Alaska,87%,42%
Virginia,84%,45%
North Carolina,92%,37%
Colorado,88%,41%
Illinois,85%,44%
Texas,87%,42%
Arizona,80%,49%
Utah,89%,40%
Montana,83%,46%
Nevada,83%,46%
Indiana,90%,38%
North Dakota,77%,51%
Oregon,79%,50%
Oklahoma,88%,41%
South Carolina,89%,40%
Alabama,81%,48%
Vermont,94%,35%
Arkansas,88%,41%
West Virginia,63%,66%
Nebraska,76%,53%
Hawaii,94%,35%
Kansas,76%,53%
Idaho,62%,67%
