Kategorie: Alle Kategorien

Region,Donald Trump: (13.05.16 bis 13.05.16),Hillary Clinton: (13.05.16 bis 13.05.16)
Delaware,97%,24%
District of Columbia,91%,30%
Vermont,41%,80%
Montana,95%,26%
Rhode Island,79%,42%
North Dakota,98%,23%
Idaho,98%,23%
Oregon,87%,34%
Pennsylvania,87%,34%
New Jersey,86%,35%
Ohio,89%,32%
Connecticut,85%,36%
New York,84%,37%
New Hampshire,82%,39%
Maryland,86%,35%
Tennessee,84%,37%
Maine,74%,47%
California,84%,37%
Wisconsin,97%,24%
Florida,92%,29%
Colorado,85%,36%
Washington,74%,47%
Utah,91%,30%
North Carolina,85%,36%
Illinois,84%,37%
Georgia,87%,34%
Nevada,82%,39%
Kansas,84%,37%
Michigan,82%,39%
Indiana,85%,36%
Virginia,87%,34%
Texas,93%,28%
New Mexico,95%,26%
Minnesota,78%,43%
Arizona,75%,46%
Oklahoma,100%,21%
Massachusetts,75%,46%
Missouri,91%,30%
Louisiana,91%,30%
Kentucky,86%,35%
South Carolina,80%,41%
Wyoming,50%,71%
Iowa,64%,57%
Nebraska,85%,36%
Alaska,82%,39%
Alabama,87%,34%
West Virginia,67%,54%
South Dakota,62%,59%
Arkansas,76%,45%
Mississippi,74%,47%
Hawaii,46%,75%
