Kategorie: Alle Kategorien

Region,Donald Trump: (17.05.16 bis 17.05.16),Hillary Clinton: (17.05.16 bis 17.05.16)
Connecticut,92%,26%
Maine,97%,21%
Kentucky,61%,57%
Montana,95%,23%
New Jersey,86%,32%
Idaho,91%,27%
Oregon,80%,38%
West Virginia,84%,34%
Iowa,82%,36%
North Dakota,94%,25%
Ohio,92%,26%
Rhode Island,96%,22%
Indiana,88%,30%
District of Columbia,77%,41%
Utah,80%,38%
New York,84%,34%
Massachusetts,88%,30%
Washington,85%,33%
Illinois,84%,34%
Mississippi,100%,19%
Arizona,98%,20%
South Carolina,94%,25%
Virginia,92%,26%
Missouri,83%,35%
California,79%,39%
Florida,89%,29%
Minnesota,78%,40%
Michigan,84%,34%
Wyoming,60%,58%
Maryland,73%,45%
Texas,84%,34%
Oklahoma,92%,26%
Wisconsin,91%,27%
Arkansas,86%,32%
North Carolina,82%,36%
Tennessee,76%,42%
Louisiana,82%,36%
Pennsylvania,84%,34%
Nevada,85%,33%
Nebraska,72%,46%
Alabama,91%,27%
South Dakota,76%,42%
Vermont,54%,64%
Georgia,82%,36%
New Hampshire,70%,48%
Colorado,80%,38%
Kansas,78%,40%
New Mexico,54%,64%
Alaska,40%,78%
Delaware,67%,51%
Hawaii,71%,47%
