Kategorie: Alle Kategorien

Region,Donald Trump: (04.05.16 bis 04.05.16),Hillary Clinton: (04.05.16 bis 04.05.16)
West Virginia,88%,26%
Indiana,85%,29%
Rhode Island,93%,21%
North Dakota,94%,20%
Delaware,97%,17%
Kentucky,80%,34%
New Jersey,88%,26%
Connecticut,81%,33%
Pennsylvania,87%,27%
Nebraska,100%,14%
Massachusetts,83%,31%
Georgia,88%,26%
Vermont,89%,25%
New Hampshire,95%,19%
Maryland,82%,32%
Michigan,85%,29%
Virginia,85%,29%
District of Columbia,71%,43%
New York,81%,33%
Idaho,90%,24%
Alabama,88%,26%
Maine,82%,32%
Oklahoma,86%,28%
Ohio,83%,31%
Wisconsin,88%,26%
Louisiana,91%,22%
South Carolina,94%,20%
Illinois,83%,31%
Florida,91%,22%
Iowa,81%,33%
Missouri,88%,26%
North Carolina,88%,26%
Arkansas,87%,27%
Washington,83%,31%
Tennessee,90%,24%
Texas,85%,29%
Oregon,75%,39%
Montana,79%,35%
Arizona,85%,29%
Wyoming,83%,31%
California,83%,31%
Minnesota,83%,31%
Kansas,95%,19%
Mississippi,88%,26%
Colorado,81%,33%
Nevada,86%,28%
Utah,94%,20%
Alaska,86%,28%
South Dakota,71%,43%
New Mexico,73%,41%
Hawaii,85%,29%
