Kategorie: Alle Kategorien

Region,Donald Trump: (20.05.16 bis 20.05.16),Hillary Clinton: (20.05.16 bis 20.05.16)
Montana,95%,18%
New Mexico,98%,14%
Alaska,92%,21%
South Dakota,23%,89%
North Dakota,80%,32%
Delaware,73%,39%
Pennsylvania,82%,30%
Minnesota,79%,34%
New Hampshire,100%,13%
New Jersey,79%,34%
Vermont,52%,61%
New York,73%,39%
Kentucky,80%,32%
Wyoming,76%,37%
Massachusetts,76%,37%
California,76%,37%
Connecticut,79%,34%
Washington,80%,32%
North Carolina,79%,34%
Indiana,85%,28%
District of Columbia,72%,40%
Maryland,72%,40%
Wisconsin,90%,22%
Hawaii,92%,21%
Alabama,81%,31%
Ohio,84%,29%
Illinois,73%,39%
Arkansas,67%,46%
Texas,75%,38%
Colorado,76%,37%
Utah,80%,32%
Rhode Island,57%,55%
Iowa,89%,23%
Michigan,73%,39%
Tennessee,85%,28%
Missouri,72%,40%
Florida,79%,34%
South Carolina,70%,43%
Nevada,80%,32%
Virginia,64%,48%
Georgia,80%,32%
Maine,44%,69%
Oklahoma,82%,30%
Louisiana,80%,32%
Idaho,79%,34%
West Virginia,67%,46%
Oregon,56%,56%
Nebraska,67%,46%
Arizona,69%,44%
Kansas,55%,57%
Mississippi,77%,36%
