Kategorie: Alle Kategorien

Region,Donald Trump: (21.10.16 bis 21.10.16),Hillary Clinton: (21.10.16 bis 21.10.16)
Oregon,91%,45%
North Dakota,75%,61%
New Jersey,87%,49%
Connecticut,82%,54%
New York,83%,53%
Kentucky,82%,54%
Rhode Island,100%,36%
West Virginia,78%,58%
District of Columbia,75%,61%
Pennsylvania,76%,60%
Louisiana,80%,56%
Maine,64%,72%
Massachusetts,80%,56%
Delaware,87%,49%
California,83%,53%
New Hampshire,61%,75%
Maryland,84%,52%
Vermont,94%,42%
North Carolina,79%,57%
Arkansas,82%,54%
Ohio,80%,56%
Indiana,80%,56%
Virginia,78%,58%
Tennessee,79%,57%
Colorado,82%,54%
Nevada,84%,52%
New Mexico,78%,58%
Washington,78%,58%
Florida,78%,58%
Iowa,86%,50%
Michigan,78%,58%
Georgia,79%,57%
Texas,79%,57%
Alabama,71%,65%
Illinois,79%,57%
Mississippi,83%,53%
Wisconsin,86%,50%
South Dakota,69%,67%
Missouri,78%,58%
South Carolina,76%,60%
Kansas,76%,60%
Minnesota,83%,53%
Arizona,75%,61%
Wyoming,50%,86%
Nebraska,71%,65%
Montana,91%,45%
Alaska,73%,63%
Oklahoma,73%,63%
Idaho,86%,50%
Hawaii,71%,65%
Utah,76%,60%
