Kategorie: Alle Kategorien

Region,Donald Trump: (01.08.16 bis 01.08.16),Hillary Clinton: (01.08.16 bis 01.08.16)
New Jersey,80%,37%
District of Columbia,72%,44%
Pennsylvania,77%,40%
New York,78%,38%
Nebraska,50%,67%
Vermont,100%,17%
Arizona,81%,36%
Massachusetts,74%,43%
California,74%,43%
Delaware,67%,50%
North Carolina,75%,42%
Mississippi,80%,37%
Virginia,75%,42%
Florida,77%,40%
Ohio,69%,48%
Texas,76%,41%
Alaska,91%,25%
Maryland,75%,42%
Arkansas,74%,43%
Maine,64%,52%
Illinois,76%,41%
Washington,74%,43%
Oklahoma,75%,42%
Connecticut,68%,49%
Kentucky,74%,43%
Indiana,70%,47%
Wyoming,89%,28%
Montana,63%,54%
Wisconsin,72%,44%
Tennessee,70%,47%
Georgia,76%,41%
Hawaii,69%,48%
South Carolina,83%,34%
West Virginia,67%,50%
Missouri,69%,48%
Alabama,76%,41%
Minnesota,70%,47%
Michigan,74%,43%
Iowa,77%,40%
South Dakota,80%,37%
Oregon,74%,43%
Colorado,68%,49%
Rhode Island,60%,57%
New Mexico,70%,47%
Nevada,69%,48%
Louisiana,69%,48%
Utah,76%,41%
Idaho,82%,35%
New Hampshire,68%,49%
Kansas,63%,54%
North Dakota,51%,65%
