Kategorie: Alle Kategorien

Region,Donald Trump: (19.08.16 bis 19.08.16),Hillary Clinton: (19.08.16 bis 19.08.16)
Louisiana,100%,12%
Maine,75%,37%
New Jersey,88%,23%
Delaware,100%,12%
District of Columbia,87%,24%
Washington,94%,17%
Alaska,82%,30%
New York,86%,25%
Nevada,88%,23%
California,87%,24%
Connecticut,84%,28%
Massachusetts,80%,31%
Colorado,86%,25%
Virginia,92%,20%
Pennsylvania,85%,26%
Florida,83%,29%
Alabama,79%,32%
Arizona,74%,38%
New Mexico,76%,35%
Maryland,79%,32%
Oklahoma,85%,26%
Michigan,83%,29%
Oregon,86%,25%
Ohio,74%,38%
North Carolina,79%,32%
Mississippi,77%,34%
Wyoming,82%,30%
South Carolina,80%,31%
South Dakota,73%,39%
Nebraska,75%,37%
Tennessee,74%,38%
Texas,84%,28%
Utah,79%,32%
Kentucky,75%,37%
Illinois,82%,30%
Rhode Island,87%,24%
Vermont,64%,48%
Iowa,93%,19%
Indiana,83%,29%
Minnesota,87%,24%
Missouri,70%,41%
Wisconsin,79%,32%
Hawaii,85%,26%
Georgia,79%,32%
North Dakota,71%,40%
Arkansas,61%,50%
West Virginia,74%,38%
Kansas,64%,48%
Montana,82%,30%
New Hampshire,76%,35%
Idaho,62%,49%
