Kategorie: Alle Kategorien

Region,Donald Trump: (07.11.16 bis 07.11.16),Hillary Clinton: (07.11.16 bis 07.11.16)
Pennsylvania,74%,87%
Michigan,80%,80%
Maine,70%,90%
Vermont,72%,88%
Rhode Island,74%,87%
New Hampshire,79%,82%
Minnesota,88%,72%
New Jersey,74%,87%
District of Columbia,74%,87%
North Dakota,64%,96%
Iowa,90%,70%
Wyoming,83%,77%
Connecticut,72%,88%
Indiana,88%,72%
North Carolina,75%,85%
New York,74%,87%
Ohio,74%,87%
Kentucky,85%,75%
Arkansas,85%,75%
Mississippi,61%,100%
West Virginia,82%,79%
South Carolina,77%,83%
Nevada,90%,70%
Florida,80%,80%
Illinois,79%,82%
Hawaii,93%,67%
Missouri,77%,83%
Nebraska,85%,75%
Massachusetts,77%,83%
Colorado,83%,77%
Louisiana,67%,93%
Alabama,79%,82%
Kansas,87%,74%
Georgia,85%,75%
Montana,75%,85%
Virginia,79%,82%
Delaware,88%,72%
Tennessee,83%,77%
Washington,79%,82%
Wisconsin,80%,80%
California,80%,80%
Maryland,82%,79%
South Dakota,70%,90%
Oklahoma,75%,85%
Texas,85%,75%
Utah,72%,88%
Oregon,88%,72%
Arizona,79%,82%
Idaho,67%,93%
Alaska,93%,67%
New Mexico,80%,80%
