Kategorie: Alle Kategorien

Region,Donald Trump: (07.04.16 bis 07.04.16),Hillary Clinton: (07.04.16 bis 07.04.16)
Wisconsin,81%,28%
New York,70%,39%
Vermont,52%,57%
Wyoming,45%,64%
Maine,58%,51%
West Virginia,87%,21%
New Jersey,75%,34%
Delaware,65%,43%
Nebraska,91%,18%
Connecticut,73%,36%
Pennsylvania,67%,42%
New Hampshire,70%,39%
Rhode Island,76%,32%
Kentucky,86%,23%
Idaho,62%,47%
Tennessee,94%,15%
Oklahoma,78%,31%
Utah,100%,9%
Indiana,69%,40%
Nevada,72%,37%
California,74%,35%
South Carolina,76%,32%
North Carolina,74%,35%
Massachusetts,69%,40%
Illinois,73%,36%
Missouri,78%,31%
Kansas,80%,29%
Maryland,67%,42%
Virginia,70%,39%
Iowa,62%,47%
Ohio,71%,38%
South Dakota,67%,42%
Minnesota,71%,38%
Michigan,78%,31%
Arizona,80%,29%
New Mexico,69%,40%
District of Columbia,59%,50%
Alabama,87%,21%
Florida,80%,29%
Washington,60%,49%
Colorado,73%,36%
Oregon,71%,38%
Texas,74%,35%
Georgia,73%,36%
Mississippi,65%,43%
Arkansas,74%,35%
North Dakota,63%,46%
Louisiana,61%,48%
Hawaii,56%,53%
Montana,56%,53%
Alaska,56%,53%
