Kategorie: Alle Kategorien

Region,Donald Trump: (07.07.16 bis 07.07.16),Hillary Clinton: (07.07.16 bis 07.07.16)
Delaware,100%,38%
North Dakota,73%,65%
Maine,87%,51%
Nebraska,41%,97%
Connecticut,54%,84%
District of Columbia,55%,83%
New Jersey,66%,72%
Vermont,55%,83%
New Hampshire,56%,81%
Iowa,51%,87%
Montana,59%,79%
Virginia,61%,77%
Hawaii,54%,84%
Ohio,59%,79%
New Mexico,76%,62%
Michigan,63%,75%
Pennsylvania,59%,79%
New York,65%,73%
Washington,65%,73%
Louisiana,65%,73%
Rhode Island,81%,56%
Nevada,50%,88%
Oregon,54%,84%
Arizona,63%,75%
Arkansas,52%,86%
Utah,59%,79%
Tennessee,61%,77%
Indiana,66%,72%
Florida,69%,69%
Colorado,70%,68%
Massachusetts,77%,61%
California,72%,66%
West Virginia,69%,69%
Georgia,65%,73%
Minnesota,68%,70%
Missouri,66%,72%
Illinois,72%,66%
Kentucky,72%,66%
Oklahoma,62%,76%
Wisconsin,56%,81%
North Carolina,66%,72%
Texas,63%,75%
Maryland,76%,62%
Kansas,70%,68%
Wyoming,83%,55%
Alabama,62%,76%
South Carolina,70%,68%
South Dakota,45%,93%
Alaska,45%,93%
Mississippi,55%,83%
Idaho,76%,62%
