Kategorie: Alle Kategorien

Region,Donald Trump: (05.06.16 bis 05.06.16),Hillary Clinton: (05.06.16 bis 05.06.16)
North Dakota,80%,45%
West Virginia,86%,38%
South Dakota,63%,61%
Wisconsin,95%,30%
Massachusetts,78%,46%
Arkansas,73%,51%
California,73%,51%
Oklahoma,96%,28%
New York,80%,45%
Nevada,90%,35%
New Jersey,72%,52%
Michigan,100%,25%
Pennsylvania,85%,40%
Idaho,47%,77%
Vermont,56%,68%
Maryland,88%,36%
District of Columbia,70%,55%
Wyoming,76%,48%
Kentucky,82%,42%
Colorado,90%,35%
Arizona,77%,47%
Hawaii,78%,46%
Montana,90%,35%
Indiana,80%,45%
Washington,76%,48%
Oregon,83%,41%
New Hampshire,75%,50%
Connecticut,70%,55%
Florida,86%,38%
Virginia,76%,48%
South Carolina,78%,46%
New Mexico,90%,35%
Alaska,62%,62%
Tennessee,85%,40%
Texas,83%,41%
Illinois,78%,46%
North Carolina,82%,42%
Ohio,78%,46%
Missouri,76%,48%
Nebraska,56%,68%
Delaware,78%,46%
Minnesota,85%,40%
Maine,68%,56%
Georgia,81%,43%
Rhode Island,68%,56%
Mississippi,70%,55%
Louisiana,82%,42%
Iowa,77%,47%
Kansas,53%,71%
Alabama,76%,48%
Utah,70%,55%
