Kategorie: Alle Kategorien

Region,Donald Trump: (07.03.16 bis 07.03.16),Hillary Clinton: (07.03.16 bis 07.03.16)
Mississippi,89%,28%
Maine,88%,29%
West Virginia,84%,32%
North Carolina,90%,27%
Vermont,76%,41%
District of Columbia,84%,32%
Michigan,70%,47%
Washington,81%,36%
Ohio,85%,31%
Louisiana,74%,43%
Rhode Island,88%,29%
Illinois,82%,35%
Florida,85%,31%
New Jersey,85%,31%
New Hampshire,78%,38%
Indiana,83%,34%
Nevada,90%,27%
Massachusetts,72%,44%
New York,81%,36%
Hawaii,95%,22%
Minnesota,90%,27%
Utah,94%,23%
California,84%,32%
Kansas,85%,31%
Connecticut,76%,41%
South Carolina,88%,29%
Virginia,81%,36%
Georgia,85%,31%
Maryland,74%,43%
Pennsylvania,78%,38%
Tennessee,88%,29%
Missouri,83%,34%
Kentucky,85%,31%
Oklahoma,94%,23%
Texas,83%,34%
Wisconsin,88%,29%
Arizona,87%,30%
Idaho,100%,17%
Arkansas,87%,30%
Oregon,76%,41%
Colorado,81%,36%
New Mexico,95%,22%
North Dakota,77%,40%
Iowa,78%,38%
Alabama,80%,37%
Nebraska,63%,54%
South Dakota,65%,51%
Montana,77%,40%
Delaware,64%,52%
Alaska,55%,62%
Wyoming,69%,48%
