Kategorie: Alle Kategorien

Region,Donald Trump: (05.02.16 bis 05.02.16),Hillary Clinton: (05.02.16 bis 05.02.16)
New Hampshire,94%,36%
Vermont,69%,61%
Maine,35%,96%
Wyoming,82%,48%
District of Columbia,68%,63%
Nebraska,72%,59%
Arkansas,80%,51%
Massachusetts,65%,65%
Alaska,100%,31%
Alabama,72%,59%
New Jersey,65%,65%
Connecticut,50%,81%
West Virginia,63%,68%
New York,67%,64%
Illinois,75%,56%
Kansas,77%,53%
Pennsylvania,75%,56%
Oregon,71%,60%
Iowa,65%,65%
Florida,75%,56%
Minnesota,75%,56%
Nevada,59%,72%
Arizona,73%,57%
Indiana,65%,65%
Michigan,77%,53%
Wisconsin,78%,52%
South Dakota,73%,57%
North Carolina,71%,60%
South Carolina,76%,55%
California,68%,63%
Maryland,57%,73%
Virginia,68%,63%
Washington,69%,61%
Tennessee,76%,55%
Oklahoma,75%,56%
Missouri,81%,50%
Utah,65%,65%
Ohio,71%,60%
Georgia,84%,47%
Texas,77%,53%
Colorado,67%,64%
Hawaii,78%,52%
Montana,94%,36%
Louisiana,77%,53%
North Dakota,43%,88%
Delaware,57%,73%
Rhode Island,77%,53%
Kentucky,60%,71%
Mississippi,63%,68%
New Mexico,73%,57%
Idaho,65%,65%
