Kategorie: Alle Kategorien

Region,Donald Trump: (10.04.16 bis 10.04.16),Hillary Clinton: (10.04.16 bis 10.04.16)
New York,80%,43%
Wyoming,41%,81%
District of Columbia,67%,55%
Massachusetts,81%,41%
Florida,88%,34%
New Jersey,80%,43%
Montana,67%,55%
Connecticut,72%,50%
New Hampshire,69%,54%
Nevada,79%,44%
Virginia,79%,44%
South Carolina,92%,30%
Oregon,83%,39%
Pennsylvania,82%,40%
Washington,85%,38%
Oklahoma,93%,29%
West Virginia,80%,43%
Kansas,92%,30%
Utah,88%,34%
Ohio,83%,39%
California,82%,40%
Missouri,83%,39%
Arizona,79%,44%
Wisconsin,77%,45%
South Dakota,82%,40%
Colorado,82%,40%
Michigan,86%,37%
Indiana,87%,35%
Tennessee,77%,45%
Illinois,77%,45%
Georgia,85%,38%
Alaska,54%,69%
Arkansas,75%,48%
Maryland,65%,58%
North Carolina,80%,43%
Vermont,41%,81%
Minnesota,85%,38%
Rhode Island,45%,77%
Alabama,85%,38%
North Dakota,62%,60%
Iowa,75%,48%
Delaware,88%,34%
Hawaii,76%,46%
Maine,51%,71%
Texas,81%,41%
Idaho,51%,71%
Kentucky,85%,38%
Louisiana,100%,23%
New Mexico,58%,65%
Mississippi,83%,39%
Nebraska,58%,65%
