Kategorie: Alle Kategorien

Region,Donald Trump: (17.10.16 bis 17.10.16),Hillary Clinton: (17.10.16 bis 17.10.16)
New Hampshire,90%,35%
West Virginia,77%,47%
Maine,83%,41%
Vermont,80%,45%
Alaska,98%,26%
District of Columbia,80%,45%
Pennsylvania,78%,46%
South Dakota,100%,25%
Maryland,86%,38%
Nevada,86%,38%
Massachusetts,81%,43%
New York,78%,46%
New Jersey,76%,48%
Minnesota,77%,47%
Washington,87%,37%
Rhode Island,91%,33%
Idaho,87%,37%
Delaware,92%,32%
Ohio,75%,50%
Arizona,78%,46%
Florida,81%,43%
Missouri,76%,48%
Oregon,71%,53%
Wisconsin,83%,41%
North Carolina,83%,41%
Montana,100%,25%
Illinois,81%,43%
Connecticut,78%,46%
Kentucky,73%,51%
Colorado,78%,46%
Michigan,80%,45%
California,80%,45%
Georgia,81%,43%
South Carolina,83%,41%
Indiana,77%,47%
Utah,83%,41%
Tennessee,76%,48%
Hawaii,71%,53%
Virginia,73%,51%
Iowa,71%,53%
Oklahoma,80%,45%
Nebraska,80%,45%
Texas,77%,47%
New Mexico,72%,52%
Louisiana,68%,56%
Arkansas,56%,68%
Kansas,73%,51%
Alabama,63%,61%
North Dakota,78%,46%
Mississippi,73%,51%
Wyoming,55%,70%
