Kategorie: Alle Kategorien

Region,Donald Trump: (26.04.16 bis 26.04.16),Hillary Clinton: (26.04.16 bis 26.04.16)
Pennsylvania,80%,38%
Rhode Island,85%,33%
District of Columbia,79%,39%
Connecticut,65%,53%
Vermont,47%,71%
West Virginia,86%,32%
Maryland,70%,48%
Montana,95%,23%
Indiana,82%,36%
Idaho,88%,30%
Iowa,91%,27%
Delaware,45%,73%
New York,78%,40%
New Mexico,89%,29%
Massachusetts,79%,39%
New Hampshire,86%,32%
New Jersey,84%,34%
Oregon,84%,34%
Nebraska,90%,28%
California,86%,32%
Michigan,88%,30%
Kentucky,80%,38%
Arizona,96%,22%
Virginia,85%,33%
South Dakota,90%,28%
Nevada,100%,19%
Florida,89%,29%
Wisconsin,80%,38%
Alabama,92%,26%
Illinois,78%,40%
Ohio,83%,35%
Wyoming,80%,38%
Utah,94%,25%
Kansas,79%,39%
North Carolina,90%,28%
Missouri,78%,40%
Alaska,85%,33%
Washington,69%,50%
Texas,85%,33%
Mississippi,94%,25%
Minnesota,77%,41%
Maine,64%,54%
Arkansas,96%,22%
Georgia,83%,35%
Colorado,69%,50%
Oklahoma,84%,34%
Tennessee,80%,38%
North Dakota,80%,38%
Hawaii,88%,30%
Louisiana,70%,48%
South Carolina,71%,47%
