Kategorie: Alle Kategorien

Region,Donald Trump: (01.07.16 bis 01.07.16),Hillary Clinton: (01.07.16 bis 01.07.16)
North Dakota,100%,21%
Colorado,86%,35%
Vermont,41%,80%
Rhode Island,81%,40%
New Hampshire,67%,54%
Maryland,80%,41%
Nebraska,93%,28%
Maine,87%,34%
South Dakota,68%,53%
Illinois,74%,47%
Delaware,86%,35%
New Jersey,78%,43%
Massachusetts,74%,47%
Ohio,74%,47%
North Carolina,68%,53%
New York,74%,47%
District of Columbia,64%,57%
West Virginia,57%,64%
Pennsylvania,73%,48%
Washington,74%,47%
Nevada,64%,57%
Indiana,84%,37%
Oklahoma,63%,58%
New Mexico,68%,53%
California,73%,48%
Florida,70%,51%
Georgia,74%,47%
Alaska,41%,80%
Michigan,69%,52%
Virginia,62%,59%
Tennessee,60%,60%
Missouri,67%,54%
Iowa,74%,47%
Arizona,71%,50%
Texas,74%,47%
Louisiana,64%,57%
Arkansas,58%,63%
Kansas,53%,68%
Mississippi,76%,45%
Idaho,67%,54%
Wisconsin,69%,52%
Alabama,75%,46%
Kentucky,62%,59%
Oregon,57%,64%
Connecticut,56%,65%
Minnesota,67%,54%
Wyoming,60%,60%
Hawaii,62%,59%
Utah,75%,46%
South Carolina,71%,50%
Montana,74%,47%
