Kategorie: Alle Kategorien

Region,Donald Trump: (12.08.16 bis 12.08.16),Hillary Clinton: (12.08.16 bis 12.08.16)
West Virginia,45%,77%
Vermont,76%,46%
Delaware,53%,70%
Utah,91%,32%
New Jersey,75%,48%
Connecticut,86%,37%
Wyoming,70%,53%
New Hampshire,64%,59%
Massachusetts,79%,44%
Pennsylvania,82%,40%
South Dakota,67%,55%
North Dakota,62%,60%
Oregon,75%,48%
New Mexico,69%,54%
Florida,77%,45%
New York,74%,49%
Kentucky,81%,41%
Washington,74%,49%
Arizona,75%,48%
District of Columbia,77%,45%
Rhode Island,88%,34%
Maryland,77%,45%
Montana,80%,43%
California,80%,43%
Minnesota,77%,45%
Michigan,76%,46%
Nevada,65%,58%
Georgia,72%,50%
Illinois,75%,48%
South Carolina,71%,51%
North Carolina,72%,50%
Tennessee,75%,48%
Virginia,74%,49%
Colorado,74%,49%
Maine,70%,53%
Wisconsin,70%,53%
Missouri,76%,46%
Ohio,64%,59%
Indiana,62%,60%
Mississippi,67%,55%
Hawaii,69%,54%
Louisiana,69%,54%
Texas,72%,50%
Arkansas,70%,53%
Alabama,70%,53%
Oklahoma,56%,66%
Idaho,100%,23%
Iowa,60%,62%
Nebraska,71%,51%
Kansas,65%,58%
Alaska,50%,72%
