Kategorie: Alle Kategorien

Region,Donald Trump: (22.03.16 bis 22.03.16),Hillary Clinton: (22.03.16 bis 22.03.16)
Arizona,77%,30%
New Hampshire,87%,20%
Wyoming,25%,81%
New Jersey,89%,18%
Utah,70%,36%
District of Columbia,80%,26%
Alaska,82%,24%
Maryland,88%,19%
Massachusetts,83%,23%
Arkansas,100%,7%
Connecticut,86%,21%
New York,83%,23%
Washington,66%,40%
Florida,87%,20%
Idaho,76%,31%
Colorado,82%,24%
West Virginia,87%,20%
Kentucky,87%,20%
Mississippi,84%,22%
South Carolina,86%,21%
Vermont,74%,33%
Michigan,87%,20%
Pennsylvania,87%,20%
Delaware,83%,23%
Nebraska,80%,26%
Illinois,84%,22%
Texas,88%,19%
Louisiana,95%,11%
Maine,89%,18%
Ohio,88%,19%
California,83%,23%
Nevada,90%,17%
Indiana,87%,20%
Virginia,79%,27%
Alabama,93%,13%
North Carolina,84%,22%
Iowa,82%,24%
Minnesota,89%,18%
Wisconsin,89%,18%
New Mexico,95%,11%
Missouri,88%,19%
Georgia,86%,21%
Oklahoma,83%,23%
Oregon,82%,24%
Rhode Island,74%,33%
Tennessee,87%,20%
Hawaii,87%,20%
Kansas,83%,23%
Montana,67%,39%
North Dakota,74%,33%
South Dakota,63%,44%
