Kategorie: Alle Kategorien

Region,Donald Trump: (24.02.16 bis 24.02.16),Hillary Clinton: (24.02.16 bis 24.02.16)
Nevada,100%,14%
Vermont,89%,25%
Delaware,91%,22%
Virginia,95%,19%
Rhode Island,91%,22%
Alabama,89%,25%
South Carolina,75%,39%
District of Columbia,88%,26%
New Hampshire,89%,25%
North Dakota,75%,39%
Maryland,88%,26%
Minnesota,91%,22%
New Jersey,89%,25%
Massachusetts,88%,26%
Oklahoma,83%,31%
Tennessee,93%,21%
Maine,86%,28%
Alaska,88%,26%
Michigan,90%,24%
Missouri,98%,16%
Pennsylvania,88%,26%
Montana,93%,21%
Georgia,90%,24%
New York,86%,28%
Arkansas,91%,22%
North Carolina,89%,25%
Florida,91%,22%
Illinois,91%,22%
Louisiana,94%,20%
Ohio,88%,26%
California,89%,25%
Oregon,89%,25%
Connecticut,88%,26%
Texas,91%,22%
Nebraska,91%,22%
Kansas,88%,26%
Kentucky,95%,19%
Washington,85%,29%
New Mexico,87%,27%
West Virginia,93%,21%
Iowa,82%,32%
Colorado,79%,35%
South Dakota,85%,29%
Arizona,98%,16%
Indiana,88%,26%
Mississippi,100%,14%
Wisconsin,93%,21%
Utah,87%,27%
Hawaii,78%,36%
Idaho,94%,20%
Wyoming,40%,74%
