Kategorie: Alle Kategorien

Region,Donald Trump: (15.10.16 bis 15.10.16),Hillary Clinton: (15.10.16 bis 15.10.16)
New Hampshire,100%,31%
Maine,94%,36%
Rhode Island,85%,46%
Connecticut,84%,47%
New Jersey,89%,42%
District of Columbia,96%,35%
Arkansas,86%,44%
Massachusetts,90%,40%
New York,86%,44%
Nevada,85%,46%
Minnesota,93%,38%
West Virginia,98%,32%
Alaska,94%,36%
Pennsylvania,86%,44%
Indiana,88%,43%
Washington,86%,44%
Florida,85%,46%
California,89%,42%
Maryland,82%,48%
Kentucky,88%,43%
Wisconsin,94%,36%
Illinois,88%,43%
Alabama,93%,38%
Delaware,82%,48%
Virginia,89%,42%
Michigan,84%,47%
Mississippi,76%,55%
North Carolina,88%,43%
Ohio,84%,47%
Missouri,93%,38%
Vermont,100%,31%
Tennessee,85%,46%
Colorado,89%,42%
Georgia,85%,46%
Montana,76%,55%
Utah,89%,42%
Wyoming,89%,42%
Iowa,85%,46%
North Dakota,85%,46%
Oregon,80%,51%
Hawaii,100%,31%
Louisiana,77%,53%
Oklahoma,88%,43%
Texas,81%,50%
Arizona,78%,52%
South Dakota,76%,55%
New Mexico,78%,52%
Kansas,93%,38%
Idaho,63%,68%
South Carolina,81%,50%
Nebraska,67%,64%
