Kategorie: Alle Kategorien

Region,Donald Trump: (23.07.16 bis 23.07.16),Hillary Clinton: (23.07.16 bis 23.07.16)
North Dakota,75%,42%
Wyoming,100%,17%
Vermont,54%,63%
Rhode Island,55%,62%
Florida,54%,63%
Maine,56%,61%
New Jersey,57%,60%
Pennsylvania,55%,62%
District of Columbia,50%,67%
Massachusetts,52%,64%
South Dakota,71%,45%
Nevada,67%,50%
Oklahoma,70%,47%
Alaska,50%,67%
New York,60%,57%
Mississippi,76%,41%
Connecticut,52%,64%
Illinois,57%,60%
Indiana,54%,63%
Louisiana,61%,56%
Wisconsin,45%,71%
Ohio,56%,61%
Washington,65%,51%
Alabama,56%,61%
Minnesota,52%,64%
Iowa,55%,62%
Arizona,63%,54%
Montana,54%,63%
Arkansas,51%,65%
Maryland,63%,54%
Colorado,62%,55%
California,61%,56%
Delaware,51%,65%
New Mexico,70%,47%
North Carolina,61%,56%
Michigan,62%,55%
Kentucky,57%,60%
Tennessee,63%,54%
Utah,70%,47%
Georgia,54%,63%
Missouri,57%,60%
Hawaii,75%,42%
Virginia,60%,57%
Kansas,67%,50%
Nebraska,56%,61%
West Virginia,48%,69%
Idaho,55%,62%
South Carolina,62%,55%
Texas,58%,58%
New Hampshire,58%,58%
Oregon,58%,58%
