Kategorie: Alle Kategorien

Region,Donald Trump: (11.09.16 bis 11.09.16),Hillary Clinton: (11.09.16 bis 11.09.16)
Rhode Island,23%,87%
New Jersey,21%,90%
District of Columbia,26%,84%
New Hampshire,20%,91%
Connecticut,25%,85%
South Dakota,16%,94%
South Carolina,20%,91%
Kentucky,22%,88%
Massachusetts,22%,88%
Florida,22%,88%
Delaware,23%,87%
New York,25%,85%
Maryland,21%,90%
Montana,23%,87%
Kansas,16%,94%
Nevada,20%,91%
Virginia,24%,86%
Mississippi,20%,91%
Tennessee,25%,85%
Alabama,21%,90%
Minnesota,25%,85%
Michigan,24%,86%
Missouri,24%,86%
Oklahoma,30%,81%
Georgia,27%,83%
Pennsylvania,27%,83%
Indiana,27%,83%
North Carolina,23%,87%
Illinois,27%,83%
Wyoming,27%,83%
Nebraska,13%,97%
Maine,20%,91%
New Mexico,22%,88%
Ohio,31%,80%
Arkansas,33%,77%
West Virginia,35%,75%
Arizona,30%,81%
Texas,25%,85%
Washington,25%,85%
Wisconsin,27%,83%
Louisiana,25%,85%
California,27%,83%
North Dakota,18%,92%
Colorado,27%,83%
Utah,24%,86%
Iowa,34%,76%
Hawaii,11%,100%
Vermont,37%,73%
Idaho,28%,82%
Oregon,21%,90%
Alaska,43%,67%
