Kategorie: Alle Kategorien

Region,Donald Trump: (02.11.16 bis 02.11.16),Hillary Clinton: (02.11.16 bis 02.11.16)
Arizona,51%,91%
Rhode Island,60%,82%
Maine,62%,80%
Alabama,57%,85%
New Jersey,62%,80%
North Dakota,51%,91%
Indiana,67%,75%
West Virginia,64%,78%
Nevada,68%,74%
South Dakota,75%,67%
Florida,65%,77%
Pennsylvania,71%,71%
Arkansas,61%,81%
District of Columbia,65%,77%
Vermont,80%,62%
New Hampshire,74%,68%
New York,67%,75%
Minnesota,64%,78%
North Carolina,65%,77%
Michigan,70%,72%
Delaware,64%,78%
South Carolina,64%,78%
Iowa,65%,77%
Maryland,70%,72%
New Mexico,70%,72%
Kentucky,65%,77%
Nebraska,61%,81%
Alaska,54%,88%
Massachusetts,70%,72%
Connecticut,78%,64%
Ohio,70%,72%
Oklahoma,74%,68%
Mississippi,65%,77%
Idaho,60%,82%
Tennessee,68%,74%
Illinois,64%,78%
Missouri,67%,75%
Montana,52%,90%
Oregon,62%,80%
Georgia,72%,70%
Washington,74%,68%
Wisconsin,72%,70%
Texas,64%,78%
Kansas,64%,78%
California,67%,75%
Colorado,72%,70%
Virginia,68%,74%
Louisiana,65%,77%
Wyoming,42%,100%
Hawaii,80%,62%
Utah,70%,72%
