Kategorie: Alle Kategorien

Region,Donald Trump: (06.09.16 bis 06.09.16),Hillary Clinton: (06.09.16 bis 06.09.16)
New Hampshire,84%,54%
North Carolina,87%,51%
Iowa,59%,79%
District of Columbia,69%,69%
Rhode Island,83%,55%
Ohio,70%,68%
Montana,65%,73%
Arkansas,70%,68%
Connecticut,66%,72%
New Jersey,73%,65%
Pennsylvania,72%,66%
Georgia,77%,61%
Alaska,93%,45%
North Dakota,55%,83%
Nevada,80%,58%
Michigan,70%,68%
Utah,73%,65%
New York,69%,69%
Arizona,72%,66%
Alabama,68%,70%
Florida,69%,69%
New Mexico,48%,90%
Tennessee,75%,63%
Missouri,68%,70%
Maryland,69%,69%
Oklahoma,63%,75%
Washington,66%,72%
Nebraska,97%,41%
Kentucky,61%,77%
Massachusetts,70%,68%
Virginia,75%,63%
Illinois,66%,72%
Wisconsin,66%,72%
Minnesota,77%,61%
Louisiana,63%,75%
California,72%,66%
Texas,75%,63%
Colorado,62%,76%
Maine,61%,77%
Hawaii,77%,61%
South Carolina,69%,69%
Idaho,52%,86%
South Dakota,100%,38%
Delaware,69%,69%
Indiana,68%,70%
Kansas,68%,70%
Oregon,84%,54%
Mississippi,79%,59%
West Virginia,75%,63%
Vermont,55%,83%
Wyoming,69%,69%
