Kategorie: Alle Kategorien

Region,Donald Trump: (24.07.16 bis 24.07.16),Hillary Clinton: (24.07.16 bis 24.07.16)
Wyoming,33%,100%
Rhode Island,96%,37%
New Jersey,77%,56%
West Virginia,89%,44%
New Hampshire,80%,53%
New York,74%,58%
Massachusetts,73%,60%
Ohio,78%,54%
Pennsylvania,76%,57%
Connecticut,88%,45%
Missouri,77%,56%
Maine,85%,48%
District of Columbia,74%,58%
Oklahoma,58%,74%
Arkansas,56%,77%
Montana,45%,88%
Delaware,74%,58%
New Mexico,96%,37%
Mississippi,94%,38%
Colorado,70%,62%
North Carolina,82%,50%
California,81%,52%
Wisconsin,78%,54%
Nebraska,53%,80%
Michigan,82%,50%
Georgia,80%,53%
Tennessee,74%,58%
Vermont,53%,80%
Texas,78%,54%
Iowa,77%,56%
Florida,72%,61%
Kansas,72%,61%
Nevada,85%,48%
South Carolina,77%,56%
Indiana,73%,60%
Alabama,72%,61%
North Dakota,81%,52%
Virginia,64%,69%
Maryland,72%,61%
Louisiana,57%,76%
Minnesota,64%,69%
Illinois,73%,60%
Idaho,89%,44%
Washington,69%,64%
Kentucky,65%,68%
Alaska,81%,52%
Arizona,68%,65%
Utah,85%,48%
Oregon,73%,60%
Hawaii,64%,69%
South Dakota,45%,88%
