Kategorie: Alle Kategorien

Region,Donald Trump: (09.04.16 bis 09.04.16),Hillary Clinton: (09.04.16 bis 09.04.16)
Rhode Island,80%,37%
South Dakota,69%,48%
North Dakota,76%,41%
Wyoming,51%,65%
New York,72%,44%
Alaska,89%,28%
New Jersey,82%,35%
Idaho,100%,17%
District of Columbia,88%,29%
Pennsylvania,82%,35%
Nevada,84%,32%
Florida,87%,30%
Kentucky,90%,27%
West Virginia,98%,18%
California,82%,35%
Alabama,83%,34%
South Carolina,90%,27%
Maryland,71%,45%
Oregon,76%,41%
New Mexico,75%,42%
Arkansas,81%,36%
Wisconsin,76%,41%
Iowa,74%,43%
Montana,44%,72%
Ohio,87%,30%
North Carolina,76%,41%
Michigan,85%,31%
Delaware,89%,28%
Vermont,68%,49%
Utah,75%,42%
Arizona,74%,43%
Nebraska,70%,47%
Massachusetts,70%,47%
Minnesota,74%,43%
Illinois,76%,41%
Louisiana,83%,34%
Indiana,80%,37%
Virginia,77%,40%
Georgia,84%,32%
Hawaii,63%,54%
Colorado,71%,45%
Tennessee,75%,42%
Connecticut,69%,48%
Mississippi,74%,43%
Texas,83%,34%
Washington,71%,45%
Oklahoma,76%,41%
Kansas,75%,42%
Missouri,81%,36%
New Hampshire,71%,45%
Maine,84%,32%
